corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable,estimated_sla_breaches
IND562132AAA_IND560300AAA,151,1.74,1.7791576560132452,0.9801324503311258,81.0,48.0,86.0,Carting,1,148
IND562132AAA_IND560099AAB,127,1.666666667,1.8193395643543306,0.9921259842519685,85.0,50.0,170.0,Carting,1,126
IND560099AAB_IND560300AAA,121,1.833333333,1.9975940971074382,0.9256198347107438,105.0,57.0,63.0,Carting,1,112
IND411033AAA_IND421302AAG,107,1.99047619,2.1748006792990657,1.0,201.0,101.0,98.0,FTL,1,107
IND421302AAG_IND400072AAB,105,2.363636364,2.5485197395714283,1.0,50.0,22.0,102.0,Carting,1,105
IND560300AAA_IND562132AAA,108,1.83,2.071733083601852,0.9722222222222222,91.0,51.0,69.5,Carting,1,105
IND400072AAD_IND421302AAG,97,2.416666667,2.833904428659794,1.0,50.0,20.0,134.0,Carting,1,97
IND000000ACB_IND131028AAB,92,1.9794866400000002,2.014112967923913,1.0,192.0,98.0,191.5,Carting,1,92
IND560099AAB_IND562132AAA,102,1.518518519,1.7050396274117647,0.8921568627450981,84.0,56.0,151.0,Carting,1,91
IND131028AAB_IND000000ACB,86,1.5946704065000001,1.7842706066279068,0.9767441860465116,148.5,93.0,178.5,Carting,1,84
IND560300AAA_IND560099AAB,86,2.454365079,2.4317844521511627,0.8953488372093024,136.0,56.0,59.0,Carting,1,77
IND421302AAG_IND401104AAA,77,2.695652174,2.8915693324935066,1.0,63.0,25.0,94.0,Carting,1,77
IND110044AAB_IND000000ACB,76,1.7059322035,1.80669921425,1.0,102.5,60.0,78.0,Carting,1,76
IND421302AAG_IND411033AAA,72,2.1786420910000004,2.2756974270972226,1.0,210.0,97.0,140.0,FTL,1,72
IND400072AAB_IND401104AAA,72,3.066666667,3.1526357765416666,1.0,48.0,16.0,43.5,Carting,1,72
IND000000ACA_IND160002AAC,71,2.064516129,2.1106673615492957,1.0,131.0,62.0,107.0,FTL,1,71
IND000000ACT_IND000000ACB,100,1.3301435405,1.6272222201400002,0.71,56.5,42.0,150.0,FTL,1,71
IND400072AAB_IND000000AFT,67,2.526315789,2.769558289253731,1.0,48.0,20.0,46.0,Carting,1,67
IND000000ACB_IND562132AAA,66,1.894997784,1.915082325909091,1.0,2858.0,1509.0,195.0,FTL,1,66
IND160002AAC_IND000000ACB,66,1.9857819905,2.072370615030303,1.0,418.5,211.0,257.5,FTL,1,66
IND600032AAB_IND600056AAB,64,1.8920454544999998,2.26044671265625,1.0,61.5,32.5,46.0,Carting,1,64
IND400072AAB_IND421302AAG,62,2.531135531,3.012892125080645,1.0,53.5,22.0,131.5,Carting,1,62
