corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable
IND000000AAL_IND411033AAA,18,2.6950000000000003,3.128867185888889,1.0,74.5,27.0,87.5,Carting,1
IND000000AAQ_IND700028AAB,1,4.714285714,4.714285714,1.0,66.0,14.0,322.0,Carting,0
IND000000AAS_IND783370AAC,9,1.766666667,2.090123457,1.0,53.0,30.0,38.0,FTL,1
IND000000AAZ_IND444203AAA,1,6.020833333,6.020833333,1.0,289.0,48.0,33.0,FTL,0
IND000000AAZ_IND444303AAA,1,4.0,4.0,1.0,160.0,40.0,14.0,FTL,0
IND000000ABA_IND683565AAA,7,1.095238095,1.7242143821428573,0.42857142857142855,22.0,21.0,41.0,Carting,1
IND000000ABD_IND562132AAA,12,1.704054054,1.7562629384166666,1.0,630.5,370.0,67.5,FTL,1
IND000000ABG_IND501359AAF,11,2.1,3.1471239287272725,1.0,42.0,20.0,200.0,Carting,1
IND000000ACA_IND140406AAA,2,1.756756757,1.756756757,1.0,65.0,37.0,209.0,FTL,0
IND000000ACA_IND142001AAB,9,1.745762712,1.7362144446666667,1.0,98.0,56.0,85.0,FTL,1
IND000000ACA_IND142401AAA,12,1.9210526315,2.28068472525,0.9166666666666666,40.0,19.5,184.0,FTL,1
IND000000ACA_IND143001AAA,1,1.702702703,1.702702703,1.0,189.0,111.0,37.0,FTL,0
IND000000ACA_IND144001AAB,17,1.604166667,1.7131714305882353,1.0,79.0,49.0,67.0,FTL,1
IND000000ACA_IND144514AAA,12,1.8174603175,2.14058855325,0.8333333333333334,114.5,63.0,130.5,FTL,1
IND000000ACA_IND147301AAA,3,1.703703704,2.1775108443333333,1.0,46.0,27.0,179.0,FTL,0
IND000000ACA_IND152026AAA,1,1.52991453,1.52991453,1.0,179.0,117.0,142.0,FTL,0
IND000000ACA_IND160002AAC,71,2.064516129,2.1106673615492957,1.0,131.0,62.0,107.0,FTL,1
IND000000ACB_IND000000AEL,23,1.770491803,2.1561532343913044,1.0,108.0,62.0,119.0,Carting,1
IND000000ACB_IND110024AAA,6,2.07658371,2.048368247,1.0,138.0,66.5,124.5,Carting,1
IND000000ACB_IND110030AAD,28,1.672684458,1.8896895461071428,0.9285714285714286,84.0,50.0,121.5,Carting,1
IND000000ACB_IND110037AAK,39,1.702702703,1.8705544292820513,1.0,63.0,38.0,127.0,Carting,1
IND000000ACB_IND110043AAA,17,1.725,2.1025683399411763,1.0,69.0,37.0,66.0,Carting,1
IND000000ACB_IND110043AAC,9,1.945454545,1.876230764888889,1.0,107.0,55.0,40.0,Carting,1
IND000000ACB_IND110052AAA,2,1.420948617,1.420948617,1.0,96.0,67.5,112.5,Carting,0
IND000000ACB_IND110064AAA,48,1.530877743,1.7397853432708335,0.8958333333333334,88.5,57.5,109.0,Carting,1
IND000000ACB_IND110085AAB,24,1.5723776225,1.5742421044583335,0.9166666666666666,102.5,65.5,138.5,Carting,1
IND000000ACB_IND110092AAC,5,1.657534247,1.5572510964,1.0,121.0,73.0,143.0,Carting,1
IND000000ACB_IND110095AAB,36,1.8725016655,2.2197263249166665,0.5833333333333334,145.5,76.0,156.5,Carting,1
IND000000ACB_IND121002AAB,57,1.764705882,1.9417051354736843,1.0,116.0,65.0,126.0,Carting,1
IND000000ACB_IND121004AAB,31,1.738461538,1.8276181858709677,1.0,113.0,65.0,73.0,Carting,1
IND000000ACB_IND122001AAA,57,1.636363636,1.6774174065964913,0.9122807017543859,56.0,34.0,80.0,Carting,1
IND000000ACB_IND122015AAC,2,2.4449579835,2.4449579835,1.0,84.5,34.5,160.5,Carting,0
IND000000ACB_IND124103AAA,13,1.833333333,1.9642030720769232,1.0,88.0,47.0,169.0,FTL,1
IND000000ACB_IND124112AAA,7,2.065934066,2.128415365,1.0,188.0,90.0,96.0,FTL,1
IND000000ACB_IND125001AAA,15,2.201492537,2.15831348,1.0,295.0,135.0,142.0,FTL,1
IND000000ACB_IND125005AAA,4,1.9522058825,1.9872140525000002,1.0,265.5,135.5,142.0,FTL,0
IND000000ACB_IND125033AAA,2,2.286087571,2.286087571,1.0,272.0,119.0,101.0,FTL,0
IND000000ACB_IND127021AAA,2,1.8567356734999998,1.8567356734999998,1.0,185.5,100.0,139.0,FTL,0
IND000000ACB_IND131028AAB,92,1.9794866400000002,2.013966915619565,1.0,192.0,98.0,191.5,Carting,1
IND000000ACB_IND160002AAC,58,2.074006562,2.1192964462068966,0.9827586206896551,434.0,211.0,399.5,FTL,1
IND000000ACB_IND201001AAC,4,1.8241758240000001,1.857142857,1.0,166.0,91.0,87.5,Carting,0
IND000000ACB_IND201007AAA,9,1.597402597,1.5468284835555555,0.7777777777777778,123.0,77.0,78.0,Carting,1
IND000000ACB_IND201301AAF,9,1.425,1.5775576137777778,0.8888888888888888,114.0,78.0,80.0,Carting,1
IND000000ACB_IND201301AAM,39,2.46835443,2.5668965626923077,1.0,199.0,80.0,150.0,Carting,1
IND000000ACB_IND209304AAA,15,2.280373832,2.349598789866667,1.0,732.0,321.0,193.0,FTL,1
IND000000ACB_IND282002AAD,9,1.905109489,2.0670339656666665,1.0,261.0,136.0,163.0,FTL,1
IND000000ACB_IND301001AAB,6,1.714285714,1.946388756,1.0,156.5,91.0,144.0,FTL,1
IND000000ACB_IND301705AAA,1,3.75,3.75,1.0,210.0,56.0,207.0,FTL,0
IND000000ACB_IND302014AAA,30,1.8794117645,1.880046304,1.0,319.5,169.0,209.0,FTL,1
IND000000ACB_IND302022AAD,20,1.6913702005,1.81076189735,1.0,286.5,168.5,129.0,FTL,1
IND000000ACB_IND328001AAA,5,1.818181818,1.8239757986,1.0,360.0,198.0,184.0,FTL,1
IND000000ACB_IND382430AAB,17,1.803797468,1.8193902185882351,1.0,1140.0,632.0,185.0,FTL,1
IND000000ACB_IND390022AAA,11,1.782733813,1.8067907331818183,1.0,1239.0,695.0,156.0,FTL,1
IND000000ACB_IND411033AAA,22,1.7695691889999998,1.769067951409091,1.0,1785.5,1010.0,158.0,FTL,1
IND000000ACB_IND421302AAG,33,1.927234927,1.971552749727273,1.0,1854.0,962.0,256.0,FTL,1
IND000000ACB_IND462022AAA,18,1.8545841854999998,1.8419531932222222,1.0,1090.5,588.0,167.0,FTL,1
IND000000ACB_IND474003AAA,2,4.475174978,4.475174978,1.0,1134.5,253.0,236.5,FTL,0
IND000000ACB_IND501359AAE,29,1.909871245,1.9761146482758623,1.0,2229.0,1165.0,256.0,FTL,1
IND000000ACB_IND521225AAB,11,1.939937598,1.9414776089999999,1.0,2487.0,1282.0,367.0,FTL,1
IND000000ACB_IND562132AAA,66,1.8975475585,1.9196633846666666,1.0,2861.5,1509.0,193.0,FTL,1
IND000000ACB_IND600056AAB,14,1.860559006,1.9359991783571429,1.0,2995.5,1610.0,250.5,FTL,1
IND000000ACB_IND712311AAA,48,2.0236808085,2.129106941875,1.0,2052.5,1015.0,234.5,FTL,1
IND000000ACB_IND751002AAB,15,2.040308748,2.0654340825333333,1.0,2379.0,1167.0,154.0,FTL,1
IND000000ACB_IND821115AAB,18,2.0533625065,2.056823976777778,1.0,1326.5,646.0,183.0,FTL,1
IND000000ACB_IND834002AAB,16,1.8854289075000001,1.911549113375,1.0,1604.5,851.0,205.5,FTL,1
IND000000ACB_IND842001AAA,19,2.047425474,2.049812057105263,1.0,1509.0,737.0,187.0,FTL,1
IND000000ACK_IND501359AAF,32,3.2739130435000003,3.50215080371875,1.0,71.0,21.0,67.0,Carting,1
IND000000ACN_IND501359AAF,15,2.235294118,2.7287008370666666,1.0,38.0,18.0,55.0,Carting,1
IND000000ACT_IND000000ACB,100,1.3176274945,1.62528184074,0.71,55.0,42.0,150.0,FTL,1
IND000000ACT_IND131028AAB,39,1.6,1.6791198499487179,0.9487179487179487,88.0,56.0,104.0,Carting,1
IND000000ACT_IND160002AAC,21,2.037234043,2.0612249088571426,1.0,383.0,188.0,78.0,FTL,1
IND000000ADM_IND683511AAA,1,1.454545455,1.454545455,1.0,32.0,22.0,83.0,Carting,0
IND000000ADV_IND600044AAC,18,2.0533428165,2.1092386245555557,1.0,76.5,37.0,49.0,Carting,1
IND000000AEL_IND000000ACB,17,1.844827586,1.9792982602941176,1.0,108.0,58.0,161.0,Carting,1
