hub,betweenness,in_degree,out_degree,hub_out_median_factor,hub_out_pct_delayed,hub_out_trip_count,hub_out_median_dwell,risk_score,risk_score_normalized
IND000000ACB,0.23881761283336086,45,49,1.896688742,0.9689557855127,1063.0,163.0,0.45296267765235027,100.0
IND562132AAA,0.12843455756841585,36,35,1.7423682655,0.9634464751958224,766.0,145.5,0.22378029730074062,49.4
IND712311AAA,0.07961712827854561,22,22,2.506706408,1.0,259.0,127.0,0.1995767656423883,44.1
IND501359AAE,0.08650331296000588,30,27,1.891121951,0.9969325153374232,326.0,169.0,0.1635883139728899,36.1
IND421302AAG,0.04801534423581668,29,29,2.230769231,0.9987654320987654,810.0,146.0,0.10711115253713306,23.6
IND160002AAC,0.05254740010645523,32,29,1.87447479,0.9432432432432432,370.0,137.5,0.09849877677959365,21.7
IND411033AAA,0.051015913220637636,23,20,1.929971989,0.9625,400.0,115.5,0.09845928350908542,21.7
IND110037AAM,0.04586348035166933,21,24,2.0546739985,0.9566929133858268,254.0,152.0,0.09423450055929061,20.8
IND781018AAB,0.04309087238221097,17,15,2.143042672,0.8666666666666667,90.0,168.5,0.0923455782887844,20.4
IND600056AAB,0.044544903914982656,18,18,1.888888889,1.0,300.0,130.5,0.08414037406658334,18.6
IND131028AAB,0.04710350017436632,20,20,1.784615385,0.9918367346938776,245.0,187.0,0.08406163109852431,18.6
IND302014AAA,0.04278472183983995,10,8,1.935964912,1.0,96.0,173.0,0.08282972025161023,18.3
IND209304AAA,0.041217994603821376,16,13,2.0,0.9315068493150684,219.0,128.0,0.08243598920764275,18.2
IND462022AAA,0.031459354293999965,13,9,2.191489362,1.0,123.0,85.0,0.06894284027068995,15.2
IND382430AAB,0.03184222601545436,17,13,1.882352941,0.9927797833935018,277.0,137.0,0.05993830778817723,13.2
IND842001AAA,0.024605840353871852,12,15,2.1986301370000003,0.99438202247191,178.0,72.5,0.05409914214823341,11.9
IND854326AAB,0.018975460235302756,8,8,2.130981703,1.0,70.0,164.0,0.040436358567434244,8.9
IND530012AAA,0.018469981462107446,9,11,2.0,1.0,71.0,53.0,0.03693996292421489,8.2
IND713205AAB,0.014387607143512657,7,11,2.557142857,0.9767441860465116,43.0,126.0,0.03679116683635557,8.1
IND751002AAB,0.016701723473377016,13,6,2.009466113,1.0,76.0,133.0,0.033561547348447775,7.4
IND683511AAA,0.022739570141144947,13,7,1.473205742,0.872093023255814,86.0,354.5,0.03350006530254648,7.4
IND575004AAB,0.012488299102472332,5,7,2.181985294,1.0,24.0,83.5,0.027249284988668028,6.0
IND573201AAB,0.0110327992217756,4,5,2.4375,1.0,45.0,50.0,0.026892448103078028,5.9
IND580028AAA,0.013200447846117139,9,8,1.965517241,1.0,78.0,514.5,0.02594570783046455,5.7
IND786001AAB,0.011211570581649323,6,7,2.267560664,1.0,42.0,85.5,0.025422916432607603,5.6
IND842003AAB,0.011213406016555624,4,7,2.256410256,1.0,33.0,50.0,0.025302044340448217,5.6
IND306401AAB,0.0119424407613384,3,4,2.0525991795,1.0,60.0,51.5,0.024513044107950556,5.4
IND221313AAA,0.007658168603050493,1,5,3.053763441,1.0,14.0,554.0,0.023386235305009637,5.2
IND244901AAB,0.01399262155167667,10,7,1.656565657,0.746268656716418,67.0,226.0,0.023179696313905623,5.1
IND211002AAB,0.008803479984582347,6,4,2.558102345,1.0,48.0,71.0,0.022520202792720666,5.0
IND515004AAA,0.01279885468861847,6,6,1.758196721,0.9830508474576272,59.0,95.0,0.02250290434608447,5.0
IND826004AAA,0.011457885946074923,7,9,1.860465116,0.918918918918919,37.0,68.0,0.021316997105779053,4.7
IND505001AAB,0.011607657434429089,11,8,1.7525476295,0.9333333333333332,30.0,55.0,0.02034297252075675,4.5
IND305001AAC,0.01001670245764734,5,4,2.024390244,1.0,45.0,102.0,0.020277714732312102,4.5
IND521225AAB,0.01155663234403392,8,8,1.71372549,1.0,71.0,152.0,0.01980489542652938,4.4
IND742101AAC,0.007222803443275885,6,6,2.627011494,1.0,26.0,111.5,0.018974387664388526,4.2
IND416012AAA,0.009847475359286383,5,5,1.90625,1.0,47.0,78.0,0.018771749903639667,4.1
IND403726AAA,0.00992970284308867,4,6,1.82278481,1.0,43.0,93.0,0.01809971151019584,4.0
