hub,hub_out_trip_count,hub_out_median_factor,hub_out_pct_delayed,hub_out_median_dwell,hub_in_trip_count,hub_in_median_factor,hub_in_pct_delayed
IND000000AAL,18.0,2.6950000000000003,1.0,87.5,17.0,2.703703704,1.0
IND000000AAQ,1.0,4.714285714,1.0,322.0,0.0,0.0,0.0
IND000000AAS,9.0,1.766666667,1.0,38.0,8.0,2.4646938775000002,1.0
IND000000AAZ,2.0,5.010416666499999,1.0,23.5,2.0,5.725,1.0
IND000000ABA,7.0,1.095238095,0.42857142857142855,41.0,16.0,1.2112068965,0.5
IND000000ABD,12.0,1.704054054,1.0,67.5,13.0,1.212121212,0.5384615384615384
IND000000ABG,11.0,2.1,1.0,200.0,0.0,0.0,0.0
IND000000ACA,128.0,1.935483871,0.9765625,104.5,134.0,2.0079365080000002,0.9029850746268657
IND000000ACB,1063.0,1.896688742,0.9689557855126999,163.0,927.0,1.835968379,0.9600862998921251
IND000000ACK,32.0,3.2739130435000003,1.0,67.0,0.0,0.0,0.0
IND000000ACN,15.0,2.235294118,1.0,55.0,11.0,2.75,1.0
IND000000ACT,160.0,1.536149826,0.80625,105.0,0.0,0.0,0.0
IND000000ADM,1.0,1.454545455,1.0,83.0,13.0,1.44,0.9230769230769231
IND000000ADV,18.0,2.0533428165,1.0,49.0,0.0,0.0,0.0
IND000000AEL,17.0,1.844827586,1.0,161.0,23.0,1.770491803,1.0
IND000000AEM,22.0,1.956815115,1.0,185.0,0.0,0.0,0.0
IND000000AET,8.0,2.4646938775000002,1.0,36.0,4.0,1.8025490195,1.0
IND000000AFF,3.0,4.842105263,1.0,24.0,3.0,3.179487179,1.0
IND000000AFG,4.0,2.090126812,1.0,14.0,0.0,0.0,0.0
IND000000AFJ,21.0,1.08,0.19047619047619047,41.0,1.0,1.692307692,1.0
IND000000AFR,8.0,2.0615530305,1.0,11.5,0.0,0.0,0.0
IND000000AFT,83.0,2.266666667,1.0,32.0,165.0,2.380952381,1.0
IND110014AAA,11.0,3.285714286,1.0,40.0,9.0,1.714285714,1.0
IND110020AAB,3.0,2.739130435,1.0,474.0,9.0,3.461538462,1.0
IND110024AAA,9.0,1.714285714,1.0,30.0,31.0,2.64,1.0
IND110030AAD,7.0,1.815789474,1.0,133.0,58.0,1.5816666664999999,0.896551724137931
IND110035AAC,3.0,1.666666667,1.0,286.0,35.0,2.157894737,0.9142857142857143
IND110037AAK,43.0,2.057142857,0.9767441860465116,191.0,39.0,1.702702703,1.0
IND110037AAM,254.0,2.0546739985,0.9566929133858267,152.0,188.0,2.121133201,1.0
IND110039AAA,3.0,3.733333333,1.0,81.0,4.0,1.738095238,0.5
IND110043AAA,38.0,1.697826087,0.8947368421052632,38.5,32.0,2.2509652510000002,1.0
IND110043AAC,1.0,1.620689655,1.0,139.0,9.0,1.945454545,1.0
IND110044AAB,172.0,1.7,0.9709302325581395,76.0,41.0,1.888888889,0.975609756097561
IND110052AAA,10.0,1.6617866005000002,1.0,111.5,2.0,1.420948617,1.0
IND110064AAA,42.0,1.3151364765,0.9047619047619048,65.0,49.0,1.534482759,0.8979591836734694
IND110077AAA,1.0,1.333333333,1.0,57.0,0.0,0.0,0.0
IND110078AAA,14.0,2.7329192545,1.0,46.0,33.0,1.666666667,0.8787878787878788
IND110083AAA,1.0,2.941176471,1.0,102.0,3.0,4.0,1.0
IND110085AAB,18.0,2.4110576925,0.8333333333333334,18.0,50.0,1.771222015,0.96
IND110092AAC,7.0,2.098360656,1.0,47.0,7.0,1.77027027,1.0
IND110093AAA,1.0,3.222222222,1.0,30.0,1.0,3.25,1.0
IND110095AAB,1.0,1.521126761,1.0,57.0,36.0,1.8725016655,0.5833333333333334
IND121001AAA,27.0,1.833333333,0.9629629629629629,18.0,24.0,1.7333333335,1.0
IND121002AAB,28.0,2.0703125,1.0,78.5,57.0,1.764705882,1.0
IND121004AAA,10.0,2.3833333335,1.0,77.5,23.0,1.75,1.0
IND121004AAB,169.0,1.916666667,1.0,30.0,143.0,2.121212121,0.993006993006993
IND121004AAC,5.0,2.166666667,1.0,20.0,9.0,1.846153846,1.0
IND121102AAA,12.0,3.992857143,1.0,50.0,41.0,1.931034483,1.0
IND122001AAA,26.0,1.8159777424999999,0.9615384615384616,40.5,59.0,1.647058824,0.9152542372881356
IND122001AAD,10.0,1.8455882355,0.9,14.5,3.0,3.2,1.0
IND122001AAJ,13.0,0.775862069,0.0,12.0,19.0,1.823529412,1.0
IND122002AAD,2.0,2.285,1.0,24.0,0.0,0.0,0.0
IND122004AAA,44.0,1.6573083780000002,1.0,42.5,0.0,0.0,0.0
IND122503AAA,2.0,4.5997151,1.0,104.5,2.0,2.285,1.0
IND123001AAA,13.0,1.911764706,1.0,27.0,3.0,2.75862069,1.0
IND123401AAB,13.0,1.96,1.0,29.0,13.0,1.911764706,1.0
IND124001AAB,4.0,2.5203488370000002,1.0,37.0,4.0,1.778846154,1.0
IND124103AAA,9.0,1.884615385,1.0,12.0,13.0,1.833333333,1.0
IND124112AAA,8.0,2.200149925,1.0,25.5,7.0,2.065934066,1.0
IND124141AAA,10.0,1.9940084384999999,1.0,20.5,3.0,2.4375,1.0
IND124507AAA,12.0,2.4149048625,1.0,42.5,11.0,1.880952381,1.0
IND125001AAA,46.0,2.1049009385,1.0,89.5,27.0,2.335766423,1.0
IND125005AAA,14.0,1.890510949,1.0,83.5,9.0,2.192592593,1.0
IND125033AAA,5.0,2.0,1.0,10.0,6.0,1.8827586205,1.0
IND125047AAB,11.0,2.192982456,1.0,18.0,10.0,2.085714286,1.0
IND125050AAA,2.0,1.7186147185,1.0,11.5,1.0,2.714285714,1.0
IND125051AAA,4.0,1.0489583335,0.0,16.0,13.0,2.175438596,1.0
IND125104AAA,1.0,2.587155963,1.0,165.0,10.0,1.8242647060000001,1.0
IND125111AAA,2.0,3.2958669355000003,1.0,25.0,4.0,1.0489583335,0.0
IND125121AAA,3.0,3.9,1.0,375.0,2.0,3.2958669355000003,1.0
IND126102AAA,7.0,2.228571429,1.0,52.0,4.0,2.5203488370000002,1.0
IND126112AAA,16.0,2.1301369865,0.9375,160.5,0.0,0.0,0.0
IND126116AAA,5.0,2.819672131,1.0,59.0,5.0,2.260869565,1.0
IND127021AAA,8.0,1.8421052635000001,1.0,52.5,11.0,1.884615385,1.0
IND127201AAA,3.0,2.4375,1.0,11.0,8.0,1.8421052635000001,1.0
IND131021AAA,58.0,1.625,0.8620689655172413,26.0,0.0,0.0,0.0
IND131028AAB,245.0,1.784615385,0.9918367346938776,187.0,329.0,1.972999036,0.9908814589665653
IND131028AAE,1.0,1.733333333,1.0,61.0,3.0,2.511627907,1.0
